Source,Target,Type,Weight
1,3,undirected,1
2,3,undirected,1
3,32,undirected,1
4,3,undirected,1
4,32,undirected,1
5,3,undirected,1
2,5,undirected,1
6,30,undirected,1
7,3,undirected,1
1,4,undirected,1
7,1,undirected,1
1,8,undirected,1
7,4,undirected,1
4,8,undirected,1
8,3,undirected,1
7,8,undirected,1
9,3,undirected,1
10,37,undirected,1
3,37,undirected,1
11,37,undirected,1
1,37,undirected,1
12,37,undirected,1
13,37,undirected,1
14,37,undirected,1
10,3,undirected,1
9,8,undirected,1
9,4,undirected,1
7,9,undirected,1
1,10,undirected,1
3,22,undirected,1
15,38,undirected,1
16,38,undirected,1
3,38,undirected,1
16,15,undirected,1
15,3,undirected,1
16,3,undirected,1
17,32,undirected,1
9,32,undirected,1
1,32,undirected,1
7,32,undirected,1
8,32,undirected,1
9,17,undirected,1
1,17,undirected,1
17,4,undirected,1
7,17,undirected,1
17,3,undirected,1
17,8,undirected,1
1,9,undirected,1
11,10,undirected,1
11,3,undirected,1
12,10,undirected,1
2,19,undirected,1
18,19,undirected,1
1,18,undirected,1
18,20,undirected,1
18,2,undirected,1
18,3,undirected,1
18,39,undirected,1
1,19,undirected,1
19,20,undirected,1
19,3,undirected,1
3,21,undirected,1
19,39,undirected,1
1,20,undirected,1
1,2,undirected,1
1,39,undirected,1
2,20,undirected,1
20,3,undirected,1
20,39,undirected,1
2,39,undirected,1
21,39,undirected,1
2,21,undirected,1
10,13,undirected,1
11,14,undirected,1
10,14,undirected,1
15,22,undirected,1
12,3,undirected,1
3,13,undirected,1
14,3,undirected,1
1,11,undirected,1
12,11,undirected,1
11,13,undirected,1
1,12,undirected,1
20,21,undirected,1
1,13,undirected,1
1,14,undirected,1
12,13,undirected,1
12,14,undirected,1
14,13,undirected,1
18,21,undirected,1
19,21,undirected,1
1,21,undirected,1
16,22,undirected,1
15,33,undirected,1
22,38,undirected,1
23,3,undirected,1
23,40,undirected,1
5,40,undirected,1
24,40,undirected,1
2,40,undirected,1
3,40,undirected,1
5,23,undirected,1
24,23,undirected,1
2,23,undirected,1
24,5,undirected,1
25,2,undirected,1
2,24,undirected,1
24,3,undirected,1
26,29,undirected,1
27,29,undirected,1
28,29,undirected,1
29,41,undirected,1
29,5,undirected,1
29,36,undirected,1
25,3,undirected,1
25,24,undirected,1
29,3,undirected,1
30,3,undirected,1
6,42,undirected,1
4,6,undirected,1
6,32,undirected,1
6,3,undirected,1
30,31,undirected,1
30,42,undirected,1
4,30,undirected,1
30,32,undirected,1
31,42,undirected,1
25,5,undirected,1
4,31,undirected,1
31,32,undirected,1
3,31,undirected,1
4,42,undirected,1
32,42,undirected,1
3,42,undirected,1
25,40,undirected,1
25,23,undirected,1
2,29,undirected,1
26,27,undirected,1
33,3,undirected,1
33,35,undirected,1
3,36,undirected,1
34,35,undirected,1
34,33,undirected,1
34,22,undirected,1
34,38,undirected,1
34,15,undirected,1
16,34,undirected,1
34,3,undirected,1
22,35,undirected,1
5,36,undirected,1
35,38,undirected,1
15,35,undirected,1
16,35,undirected,1
3,35,undirected,1
33,22,undirected,1
33,38,undirected,1
6,31,undirected,1
16,33,undirected,1
2,36,undirected,1
3,41,undirected,1
26,28,undirected,1
27,36,undirected,1
26,41,undirected,1
26,5,undirected,1
26,36,undirected,1
26,2,undirected,1
26,3,undirected,1
27,28,undirected,1
27,41,undirected,1
27,5,undirected,1
2,27,undirected,1
2,41,undirected,1
27,3,undirected,1
28,41,undirected,1
28,5,undirected,1
28,36,undirected,1
2,28,undirected,1
28,3,undirected,1
5,41,undirected,1
36,41,undirected,1
3,39,undirected,1
