Source,Target,Type,Weight
1,4,undirected,1
2,4,undirected,1
3,4,undirected,1
4,18,undirected,1
4,62,undirected,1
4,80,undirected,1
5,4,undirected,1
6,7,undirected,1
6,4,undirected,1
7,4,undirected,1
8,4,undirected,1
9,4,undirected,1
6,1,undirected,1
1,7,undirected,1
10,4,undirected,1
4,410,undirected,1
1,5,undirected,1
11,4,undirected,1
12,4,undirected,1
1,62,undirected,1
13,4,undirected,1
14,4,undirected,1
15,4,undirected,1
6,5,undirected,1
5,7,undirected,1
3,62,undirected,1
4,79,undirected,1
1,80,undirected,1
4,167,undirected,1
16,4,undirected,1
17,4,undirected,1
18,62,undirected,1
19,4,undirected,1
20,4,undirected,1
4,411,undirected,1
1,19,undirected,1
2,8,undirected,1
4,193,undirected,1
4,165,undirected,1
21,4,undirected,1
22,4,undirected,1
4,207,undirected,1
4,412,undirected,1
23,4,undirected,1
24,4,undirected,1
4,200,undirected,1
4,312,undirected,1
8,80,undirected,1
25,8,undirected,1
26,4,undirected,1
27,4,undirected,1
5,410,undirected,1
28,4,undirected,1
29,18,undirected,1
1,49,undirected,1
1,9,undirected,1
30,4,undirected,1
2,51,undirected,1
31,4,undirected,1
1,11,undirected,1
4,413,undirected,1
32,4,undirected,1
33,4,undirected,1
34,4,undirected,1
35,4,undirected,1
36,4,undirected,1
37,4,undirected,1
38,4,undirected,1
37,38,undirected,1
39,4,undirected,1
40,18,undirected,1
11,18,undirected,1
41,4,undirected,1
42,4,undirected,1
43,4,undirected,1
44,4,undirected,1
45,18,undirected,1
40,4,undirected,1
4,279,undirected,1
46,4,undirected,1
47,4,undirected,1
4,414,undirected,1
4,365,undirected,1
4,145,undirected,1
4,415,undirected,1
48,4,undirected,1
48,62,undirected,1
4,81,undirected,1
34,167,undirected,1
49,4,undirected,1
50,4,undirected,1
51,4,undirected,1
52,2,undirected,1
3,54,undirected,1
53,51,undirected,1
2,357,undirected,1
4,105,undirected,1
29,4,undirected,1
4,322,undirected,1
15,322,undirected,1
9,322,undirected,1
3,105,undirected,1
4,258,undirected,1
2,16,undirected,1
1,17,undirected,1
1,410,undirected,1
2,165,undirected,1
4,179,undirected,1
54,4,undirected,1
55,4,undirected,1
4,270,undirected,1
15,9,undirected,1
56,4,undirected,1
57,4,undirected,1
58,4,undirected,1
4,357,undirected,1
7,62,undirected,1
57,62,undirected,1
6,62,undirected,1
53,4,undirected,1
59,4,undirected,1
3,79,undirected,1
60,4,undirected,1
61,4,undirected,1
2,412,undirected,1
24,2,undirected,1
55,50,undirected,1
45,4,undirected,1
25,80,undirected,1
62,410,undirected,1
63,4,undirected,1
64,4,undirected,1
25,4,undirected,1
4,400,undirected,1
65,4,undirected,1
20,62,undirected,1
3,80,undirected,1
66,4,undirected,1
4,103,undirected,1
10,12,undirected,1
52,4,undirected,1
67,4,undirected,1
2,53,undirected,1
68,357,undirected,1
68,69,undirected,1
68,4,undirected,1
50,99,undirected,1
50,64,undirected,1
68,70,undirected,1
50,100,undirected,1
68,9,undirected,1
68,2,undirected,1
69,4,undirected,1
4,70,undirected,1
2,70,undirected,1
69,357,undirected,1
9,69,undirected,1
2,69,undirected,1
69,70,undirected,1
9,357,undirected,1
70,357,undirected,1
2,9,undirected,1
71,70,undirected,1
9,70,undirected,1
72,79,undirected,1
2,71,undirected,1
73,4,undirected,1
74,416,undirected,1
3,10,undirected,1
10,79,undirected,1
72,10,undirected,1
24,10,undirected,1
10,416,undirected,1
10,74,undirected,1
73,417,undirected,1
3,417,undirected,1
3,73,undirected,1
7,417,undirected,1
73,7,undirected,1
3,7,undirected,1
4,417,undirected,1
6,417,undirected,1
71,9,undirected,1
6,73,undirected,1
6,3,undirected,1
39,417,undirected,1
39,73,undirected,1
3,39,undirected,1
39,7,undirected,1
6,39,undirected,1
75,417,undirected,1
75,73,undirected,1
3,75,undirected,1
75,7,undirected,1
75,4,undirected,1
6,75,undirected,1
75,39,undirected,1
24,74,undirected,1
4,74,undirected,1
72,74,undirected,1
74,79,undirected,1
71,357,undirected,1
71,69,undirected,1
71,4,undirected,1
68,71,undirected,1
76,78,undirected,1
76,77,undirected,1
77,78,undirected,1
76,4,undirected,1
78,4,undirected,1
77,4,undirected,1
61,76,undirected,1
61,78,undirected,1
61,77,undirected,1
76,8,undirected,1
78,8,undirected,1
77,8,undirected,1
61,8,undirected,1
72,3,undirected,1
50,18,undirected,1
72,4,undirected,1
24,3,undirected,1
24,79,undirected,1
24,72,undirected,1
3,416,undirected,1
